phase	t	slot	blocks	cumTxBytes	confBps	forged	adopted	didntAdopt	leader	mpBytesPerTx	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	mpB_bp1	mpB_bp2	mpB_bp3	mpB_relay11	mpB_relay12	mpB_relay13	mpB_relay21	mpB_relay22	mpB_relay23	mpB_relay31	mpB_relay32	mpB_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
3	180	1268	60	37112276	0	64	63		64	652.0	10986	13118	14517	27751	21158	21080	28566	20809	21112	29324	22209	22102	7162872	8552936	9465084	18093652	13795016	13744160	18625032	13567468	13765024	19119248	14480268	14410504	255	573	246	240	818	823	366	828	817	321	837	847
3	190	1285	62	44891516	777924	65	65		65	652.0	8968	9457	5654	26205	13527	13500	26345	13371	13589	22212	14666	14651	5847136	6165964	3686408	17085660	8819604	8802000	17176940	8717892	8860028	14482224	9562232	9552452	510	74	155	465	212	214	107	213	213	101	232	237
3	200	1285	62	44891516	0	65	65		65	652.0	12674	13092	10314	28366	20759	20715	28397	20587	20820	29422	21903	21879	8263448	8535984	6724728	18494632	13534868	13506180	18514844	13422724	13574640	19183144	14280756	14265108	320	207	325	256	506	506	264	502	506	337	504	506
3	210	1285	62	44891516	0	65	65		65	652.0	15408	16755	14541	28366	27785	27760	28397	27722	27881	29422	28841	28821	10046016	10924260	9480732	18494632	18115820	18099520	18514844	18074744	18178412	19183144	18804332	18791292	413	518	623	0	1015	1016	0	1022	1016	231	1018	1014
3	220	1320	63	50196044	530453	66	66		67	652.0	12360	11406	11992	22495	22437	22650	21056	23174	22553	23883	22771	22742	8058720	7436712	7818784	14666740	14628924	14767800	13728512	15109448	14704556	15571716	14846692	14827784	196	256	252	0	353	379	0	418	363	0	274	270
3	230	1325	64	50284172	8813	67	67		67	652.0	14762	14279	14020	28195	27642	27854	27307	28342	27748	29121	27809	27797	9624824	9309908	9141040	18383140	18022584	18160808	17804164	18478984	18091696	18986892	18131468	18123644	274	364	252	368	525	526	356	542	520	353	518	523
3	240	1341	65	57540476	725630	68	68		68	652.0	13806	6240	12718	28195	29814	30099	28174	30485	30119	29121	29707	30120	9001512	4068480	8292136	18383140	19438728	19624548	18369448	19876220	19637588	18986892	19368964	19638240	235	276	188	7	292	292	94	280	324	2	265	303
3	250	1341	65	57540476	0	68	68		68	652.0	16757	10310	16055	28388	25874	26119	25047	26155	26020	29163	25974	26434	10925564	6722120	10467860	18508976	16869848	17029588	16330644	17053060	16965040	19014276	16935048	17234968	124	488	382	125	179	179	118	179	665	110	650	182
3	260	1341	65	57540476	0	68	68		68	652.0	19475	14188	19274	28388	29967	29925	28391	30375	30184	29163	30445	30372	12697700	9250576	12566648	18508976	19538484	19511100	18510932	19804500	19679968	19014276	19850140	19802544	409	275	243	177	899	876	518	909	424	176	454	893
3	270	1341	65	57540476	0	68	68		69	652.0	22154	17723	22024	28388	29967	29925	28391	30375	30184	29163	30445	30372	14444408	11555396	14359648	18508976	19538484	19511100	18510932	19804500	19679968	19014276	19850140	19802544	189	256	192	0	0	0	0	0	0	0	0	0
