Tx count	Block size [kB]	Apply [ms]	Reapply [ms]	Fraction of blocks [%/100]
1	6.60125252525253	2.10541582491582	0.156306397306397	0.000127550938240222
1	6.6235	7.602	1.046	4.29464438519267e-07
1	6.6669	3.6133	0.4954	2.14732219259633e-06
1	6.69988888888889	2.19711111111111	1.10022222222222	1.9325899733367e-06
1	6.72572131147541	5.00903278688525	0.15655737704918	1.30986653748376e-05
1	6.749	16.057	1.177	2.14732219259633e-07
1	6.74986567164179	2.11808955223881	0.503835820895522	1.43870586903954e-05
1	6.763	5.04159375	0.28221875	6.87143101630827e-06
1	6.784	8.936	0.77	2.14732219259633e-07
1	6.90644	7.21572	0.1714	5.36830548149083e-06
1	6.92666666666667	16.0701666666667	0.373166666666667	1.2883933155578e-06
1	6.98631260229133	1.99950900163666	0.359810147299509	0.000131201385967636
1	7.07325	6.79225	0.269625	1.71785775407707e-06
1	7.11266666666667	15.2416666666667	0.183	6.441966577789e-07
1	7.118	14.502	0.452	2.14732219259633e-07
1	7.22325	9.417	0.26775	8.58928877038534e-07
1	7.345	2.993	0.929	2.14732219259633e-07
1	7.38150865800866	1.97096536796537	0.301287878787879	9.92062852979506e-05
1	7.395	29.82	30.44	2.14732219259633e-07
1	7.53555555555556	9.46855555555556	0.387	1.9325899733367e-06
1	7.6883	3.4078	1.4465	2.14732219259633e-06
1	7.8192	2.3778	1.3952	1.07366109629817e-06
1	7.901	4.389	1.348	2.14732219259633e-07
1	8.11675	9.98075	0.4735	8.58928877038534e-07
1	9.184	3.3125	1.755	4.29464438519267e-07
1	9.518	12.486	0.554	2.14732219259633e-07
1	9.635	8.94	0.521	2.14732219259633e-07
1	9.825	0.646	0.923	2.14732219259633e-07
1	10.1941018948874	1.52851734000715	0.138141222738649	0.000600606017269195
1	10.423	1.639	0.899	2.14732219259633e-07
1	10.428	10.323	1.781	2.14732219259633e-07
1	10.8657424242424	1.47288095238095	0.25844696969697	0.000198412570595901
1	10.959	12.813	0.3035	4.29464438519267e-07
1	11.165	5.45833333333333	1.095	6.441966577789e-07
1	11.195	0.708	0.525	2.14732219259633e-07
1	11.2598789524114	2.03390610028745	0.29831906739061	0.000672326578501912
1	11.4205744680851	1.4433829787234	0.493191489361702	1.00924143052028e-05
1	11.4580507936508	1.36495238095238	0.36248253968254	6.76406490667845e-05
1	11.5246666666667	20.3828333333333	0.265166666666667	1.2883933155578e-06
1	11.5391875	7.076625	0.3818125	3.43571550815413e-06
1	11.5638620689655	4.90827586206897	0.373241379310345	6.22723435852937e-06
1	11.6595714285714	5.05621428571429	0.162964285714286	6.01250213926973e-06
1	11.7833333333333	12.5126666666667	0.367	6.441966577789e-07
1	11.9060285714286	2.13157142857143	0.485068571428571	3.75781383704358e-05
1	11.9345527075812	2.21369530685921	0.353062093862816	0.000594808247349185
1	11.94625	7.061625	0.28225	1.71785775407707e-06
1	11.97508	7.0966	0.16092	5.36830548149083e-06
1	11.9930909090909	1.26518181818182	0.634363636363636	2.36205441185597e-06
1	12.008	1.529	1.626	2.14732219259633e-07
1	12.1244193548387	3.38351612903226	0.154854838709677	1.33133975940973e-05
1	12.1502142857143	5.12264285714286	0.295357142857143	3.00625106963487e-06
1	12.2246829268293	2.04824390243902	0.665243902439024	8.80402098964497e-06
1	12.2625838926175	0.583348993288591	0.12758389261745	3.19951006696854e-05
1	12.271	15.895	0.158	2.14732219259633e-07
1	12.362	7.51166666666667	0.686333333333333	6.441966577789e-07
1	12.4719124886053	2.11680264357338	0.144239972652689	0.000942244978111271
1	12.4989090909091	2.4	1.16663636363636	2.36205441185597e-06
1	12.5314117647059	3.557	0.673235294117647	3.65044772741377e-06
1	12.6636	2.11586666666667	0.837133333333333	3.2209832888945e-06
1	12.7260277777778	0.695527777777778	0.283527777777778	7.7303598933468e-06
1	12.7618333333333	3.47966666666667	1.12333333333333	1.2883933155578e-06
1	12.7943333333333	6.929	1.41966666666667	6.441966577789e-07
1	12.8393333333333	7.83866666666667	0.8085	1.2883933155578e-06
1	12.8506666666667	9.682	0.280666666666667	1.2883933155578e-06
1	12.8614	5.188	0.4906	1.07366109629817e-06
1	12.997	3.6206	0.8784	3.2209832888945e-06
1	13.1076666666667	32.5648333333333	0.503	1.2883933155578e-06
1	13.1448947368421	3.62147368421053	0.506473684210526	4.07991216593303e-06
1	13.356	5.071	0.873714285714286	1.50312553481743e-06
1	13.3738666666667	9.51846666666667	0.3542	3.2209832888945e-06
1	13.399	13.182	0.1715	4.29464438519267e-07
1	13.4475	10.002375	0.1625	1.71785775407707e-06
1	13.489	3.36358333333333	1.53866666666667	2.5767866311156e-06
1	13.5421111111111	3.25364444444445	0.304555555555556	9.6629498666835e-06
1	13.6833333333333	0.669333333333333	0.339	6.441966577789e-07
1	13.7053333333333	3.55388888888889	1.85966666666667	1.9325899733367e-06
1	13.716	4.4095	1.424	4.29464438519267e-07
1	13.7955	4.5425	0.6615	4.29464438519267e-07
1	13.84325	6.19775	0.51975	8.58928877038534e-07
1	13.995786407767	3.22330097087379	0.360223300970874	2.21174185837422e-05
1	14.1866315789474	5.24563157894737	2.31447368421053	4.07991216593303e-06
1	14.2487857142857	6.38785714285714	2.40192857142857	3.00625106963487e-06
1	14.272	9.4585	0.624	4.29464438519267e-07
1	14.3706	2.659	1.456	1.07366109629817e-06
1	14.7615	9.0677	0.8875	2.14732219259633e-06
1	15.4036666666667	2.555	1.80133333333333	6.441966577789e-07
1	16.017	5.264	1.157	2.14732219259633e-07
1	16.017	5.311	0.879	2.14732219259633e-07
1	16.017	15.179	0.377	2.14732219259633e-07
1	16.093	1.131	0.596	2.14732219259633e-07
1	16.096	6.727	2.724	4.29464438519267e-07
1	16.13875	1.2705	0.35575	8.58928877038534e-07
1	16.1525	1.788	0.1805	4.29464438519267e-07
1	16.1599404761905	5.31114880952381	0.384119047619048	3.60750128356184e-05
1	16.163	1.917	1.041	2.14732219259633e-07
1	16.1644040816327	5.22342040816327	0.189714285714286	5.26093937186102e-05
1	16.1716666666667	5.44833333333333	0.4745	2.5767866311156e-06
1	16.175875	6.60725	0.187	1.71785775407707e-06
1	16.185125	6.68	0.374875	1.71785775407707e-06
1	16.1936666666667	1.922	0.369666666666667	6.441966577789e-07
1	16.218	5.52	0.617	2.14732219259633e-07
1	16.218	6.163	0.217	2.14732219259633e-07
1	16.218	9.235	0.423	2.14732219259633e-07
1	16.218	13.336	0.203	2.14732219259633e-07
1	16.2207777777778	1.52044444444444	0.164888888888889	1.9325899733367e-06
1	16.22124	5.20568	0.23772	5.36830548149083e-06
1	16.236	8.852	0.219	2.14732219259633e-07
1	16.2505	5.7745	3.2705	4.29464438519267e-07
1	16.2555	0.6205	0.12825	8.58928877038534e-07
1	16.2576666666667	1.27	0.539666666666667	6.441966577789e-07
1	16.2616	1.591	0.2844	1.07366109629817e-06
1	16.263	1.788	0.47	4.29464438519267e-07
1	16.2674	4.1536	0.1808	1.07366109629817e-06
1	16.302	4.317	0.343	2.14732219259633e-07
1	16.323	3.062	0.234	2.14732219259633e-07
1	16.324	4.789	1.363	2.14732219259633e-07
1	16.332	15.027	2.278	2.14732219259633e-07
1	16.334	0.716	0.34	2.14732219259633e-07
1	16.342	2.383	0.926	2.14732219259633e-07
2	0.5215	0.6855	1.149	4.29464438519267e-07
2	0.6795	342.932	362.8765	4.29464438519267e-07
2	0.693593202614379	0.688670065359477	0.294326274509804	0.000821350738668098
2	0.714490588235294	0.702571764705883	0.349241176470588	0.000182522386370688
2	0.71618	0.62284	0.50352	1.07366109629817e-05
2	0.735928571428572	0.834214285714286	1.111	3.00625106963487e-06
2	0.786430786725938	0.581208553016989	0.144234708294566	0.0062313142706953
2	0.798065700619021	0.810670230725943	0.310820765334834	0.00152631661449747
2	0.817	0.722	1.398	2.14732219259633e-07
2	0.822192307692308	0.850384615384616	0.849230769230769	5.58303770075047e-06
2	0.834052631578947	0.636421052631579	0.653368421052632	4.07991216593303e-06
2	0.861987394957983	0.876638655462185	0.493966386554622	5.11062681837927e-05
2	0.869741168855188	0.872738579619012	0.352345663029406	0.00232211421907368
2	0.899594594594595	0.900608108108108	0.64745945945946	1.58901842252129e-05
2	0.9526	0.8178	1.4534	2.14732219259633e-06
2	1.00136873156342	0.975745132743363	0.160158997050148	0.000727942223290157
2	1.01385714285714	1.929	0.264571428571429	6.01250213926973e-06
2	1.02	0.69	0.929	2.14732219259633e-07
2	1.02333333333333	3.42533333333333	0.358333333333333	6.441966577789e-07
2	1.04051515151515	1.87230303030303	0.365865800865801	4.96031426489753e-05
2	1.04355555555556	1.87388888888889	0.490333333333333	1.9325899733367e-06
2	1.06686206896552	1.93729310344828	0.174879310344828	1.24544687170587e-05
2	1.081	5.743	0.187	2.14732219259633e-07
2	1.096	3.291	0.152	2.14732219259633e-07
2	1.098	45.507	0.332	6.441966577789e-07
2	1.098	45.625	0.2915	6.441966577789e-06
2	1.137	5.274	0.381	2.14732219259633e-07
2	1.74007389162562	0.69535960591133	0.356689655172414	4.35906405097056e-05
2	1.81931765676568	0.681654290429043	0.268976897689769	0.000260255449742676
2	1.92496529284165	0.632184952620162	0.150673098146668	0.00564251852548539
2	1.92562745098039	0.639313725490196	0.504	1.09513431822413e-05
2	1.9276	0.644714285714286	0.646914285714286	7.51562767408717e-06
2	2.06633333333333	9.40333333333333	0.345666666666667	6.441966577789e-07
2	2.11483333333333	3.69666666666667	1.099	1.2883933155578e-06
2	2.16514285714286	0.668714285714286	0.791571428571429	1.50312553481743e-06
2	2.1713125	1.0268125	1.4804375	6.87143101630827e-06
2	2.17981916317992	1.01660928870293	0.287206861924686	0.00256605002015262
2	2.18614438668152	1.09474343978215	0.361382504022775	0.00693928639759431
2	2.21780350522413	2.23246129648354	0.239606224019773	0.00191133148363
2	2.22758048643329	2.12493181498664	0.193709124138901	0.00152739027559377
2	2.23111928286853	2.21401920318725	0.390528525896414	0.0026948893517084
2	2.27884210526316	1.15389473684211	1.137	8.15982433186607e-06
2	2.3075625	1.12140625	0.850427083333333	2.06142930489248e-05
2	2.32268277214776	1.08676482510624	0.171101863354037	0.00656865858715219
2	2.40092140718563	2.32230913173653	0.476127245508982	0.00028688224493087
2	2.4195	5.09136029411765	0.866198529411765	2.92035818193101e-05
2	2.441410041841	1.15983682008368	0.651514644351464	5.13210004030524e-05
2	2.4595	7.3735	0.173	4.29464438519267e-07
2	2.46231205673759	3.36548226950355	0.19616548463357	9.08317287468249e-05
2	2.46661908580593	1.17544346431435	0.485847634322374	0.000267771077416763
2	2.4775	5.2747619047619	1.04740476190476	9.0187532089046e-06
2	2.56954255765199	3.45102389937107	0.401334591194969	0.000512136342934226
2	2.576	8.026	1.909	2.14732219259633e-07
2	2.57777622377622	4.8601958041958	0.66744055944056	3.07067073541276e-05
2	2.5965832389581	3.64696432616082	0.484821064552661	0.000379217099212513
2	2.60891059280855	3.52327470035633	0.267062520246194	0.000662878360854488
2	2.69409565217391	2.2240347826087	0.648626086956522	2.46942052148578e-05
2	2.72479704016913	4.86828118393235	0.503410147991543	0.000101568339709807
2	2.72608	2.13128	0.84864	5.36830548149083e-06
2	2.73033333333333	3.7292380952381	0.828666666666667	4.5093766044523e-06
2	2.7315905511811	3.64010236220472	0.638818897637795	2.72709918459734e-05
2	2.795	3.767	1.49933333333333	6.441966577789e-07
2	2.7975	2.317125	1.110375	1.71785775407707e-06
2	2.79942857142857	6.45785714285714	0.275285714285714	1.50312553481743e-06
2	2.84725225225225	4.83184684684685	0.280438438438438	7.15058290134579e-05
2	2.85668181818182	6.60109090909091	1.07354545454545	4.72410882371193e-06
2	2.89073939393939	4.82880606060606	0.382184848484848	7.0861632355679e-05
2	2.9568064516129	6.49938709677419	0.875612903225806	6.65669879704864e-06
2	2.96478571428571	7.45064285714286	1.45571428571429	3.00625106963487e-06
2	2.968	2.478	1.748	4.29464438519267e-07
2	3.03051111111111	6.79204444444445	0.502444444444445	9.6629498666835e-06
2	3.0687	4.75616666666667	0.199566666666667	6.441966577789e-06
2	3.10038709677419	6.92574193548387	0.671161290322581	6.65669879704864e-06
2	3.14895454545455	9.0115	0.491818181818182	4.72410882371193e-06
2	3.1629375	6.70146875	0.3963125	6.87143101630827e-06
2	3.256	5.2055	1.3685	4.29464438519267e-07
2	3.26458333333333	9.06791666666667	0.697416666666667	2.5767866311156e-06
2	3.27988888888889	60.8533333333334	55.3972222222222	1.9325899733367e-06
2	3.303	8.659	1.267	2.14732219259633e-07
2	3.39911538461538	9.98984615384615	2.07038461538462	5.58303770075047e-06
2	3.412	9.10942857142857	1.49642857142857	1.50312553481743e-06
2	3.41933333333333	3.115	1.87566666666667	6.441966577789e-07
2	3.4875	9.3775	0.8265	4.29464438519267e-07
2	3.5345	1.2285	1.936	4.29464438519267e-07
2	3.71574193548387	13.053064516129	2.80796774193548	6.65669879704864e-06
2	3.86025	1.985	1.52125	8.58928877038534e-07
2	4.645	1.974	1.782	2.14732219259633e-07
2	4.675625	15.288375	2.985875	1.71785775407707e-06
2	4.783	0.691	0.6445	4.29464438519267e-07
2	5.06918181818182	10.2123636363636	2.07772727272727	2.36205441185597e-06
2	5.315	10.011	1.039	2.14732219259633e-07
2	5.50394117647059	13.1680588235294	2.72405882352941	3.65044772741377e-06
2	5.51242839951865	0.670024067388688	0.150799037304452	0.000178442474204755
2	5.631	0.7078	0.3466	1.07366109629817e-06
2	5.68221052631579	5.16501754385965	0.648561403508772	1.22397364977991e-05
2	5.74627777777778	0.6935	0.261277777777778	3.8651799466734e-06
2	5.796	6.546	1.14833333333333	6.441966577789e-07
2	5.90871739130435	5.04278260869565	0.507130434782609	2.96330462578294e-05
2	5.95036842105263	5.06947368421053	0.853052631578948	4.07991216593303e-06
2	6.06840540540541	1.35991891891892	0.845945945945946	7.94509211260643e-06
2	6.09807329716697	1.31570452079566	0.367736347197107	0.00178120375875866
2	6.10004761904762	1.30409523809524	1.54195238095238	4.5093766044523e-06
2	6.13009166666667	2.222375	0.654216666666667	2.5767866311156e-05
2	6.17262445452212	1.1554573457688	0.171390262685035	0.00250957544648734
2	6.19390579710145	1.34504347826087	0.654376811594203	2.96330462578294e-05
2	6.20984509466437	1.374834767642	0.490483648881239	0.000124759419389847
2	6.29906511627907	1.24050631229236	0.267823920265781	0.000646343979971497
2	6.32873134328358	3.53617910447761	0.648701492537314	1.43870586903954e-05
2	6.36346461538462	3.54043384615385	0.486861538461539	6.97879712593808e-05
2	6.37442162471396	2.22824370709382	0.246645881006865	0.000375351919265839
2	6.47115300546448	3.42549726775956	0.395587431693989	0.000157183984498052
2	6.529	7.01755555555556	0.496111111111111	5.7977699200101e-06
2	6.54190894819466	3.34731397174254	0.257579277864992	0.000136784423668386
2	6.55228	4.998624	0.271624	2.68415274074542e-05
2	6.57885121107266	3.42070934256055	0.18977508650519	6.2057611366034e-05
2	6.60762162162162	5.04421621621622	0.382013513513513	4.76705526756386e-05
2	6.62233898305085	2.24194915254237	0.834169491525424	1.26692009363184e-05
2	6.63008289241623	2.24473192239859	0.486433862433862	0.000121753168320212
2	6.64424415443176	2.05517835780315	0.188202827623709	0.000394892551218466
2	6.655	6.79711111111111	0.650555555555556	1.9325899733367e-06
2	6.65730857988166	2.11418639053254	0.385780473372781	0.000725794901097561
2	6.79284615384615	7.52953846153846	0.879846153846154	2.79151885037523e-06
2	6.8804	9.1941	0.40125	4.29464438519267e-06
2	6.93368965517241	7.03875862068966	0.18851724137931	6.22723435852937e-06
2	6.955	5.3574	1.0814	2.14732219259633e-06
2	7.004	12.331	0.629	2.14732219259633e-07
2	7.0565	12.3775	0.1975	4.29464438519267e-07
2	7.09625	15.42725	0.38025	8.58928877038534e-07
2	7.10674074074074	7.01857407407407	0.381962962962963	1.15955398400202e-05
2	7.12794252873563	5.10750574712644	0.18883908045977	1.86817030755881e-05
2	7.1542962962963	2.33937037037037	1.1007037037037	5.7977699200101e-06
2	7.196	2.58183333333333	1.4255	1.2883933155578e-06
2	7.20647619047619	3.55961904761905	0.839047619047619	4.5093766044523e-06
2	7.38285	6.92795	0.2596	8.58928877038534e-06
2	7.40027272727273	1.38954545454545	1.11336363636364	2.36205441185597e-06
2	7.4104	9.6212	0.198	1.07366109629817e-06
2	7.423	14.778	0.303	2.14732219259633e-07
2	7.60557142857143	9.05971428571429	0.880285714285714	1.50312553481743e-06
2	7.72186666666667	3.2162	1.14246666666667	3.2209832888945e-06
2	7.74244444444445	9.71911111111111	0.489777777777778	1.9325899733367e-06
2	7.76016666666667	9.45866666666667	0.240416666666667	2.5767866311156e-06
2	8.032	12.815	1.183	2.14732219259633e-07
2	8.126125	12.454375	0.3885	1.71785775407707e-06
2	8.4195	12.7195	0.2845	4.29464438519267e-07
2	8.825	11.891	0.959	2.14732219259633e-07
2	8.8935	3.4745	1.3675	4.29464438519267e-07
2	8.986	4.558	1.59	2.14732219259633e-07
2	9.12	12.532	0.474	2.14732219259633e-07
2	9.41	6.842	1.344	2.14732219259633e-07
2	9.691	1.627	1.537	4.29464438519267e-07
2	10.342	11.51	0.211	2.14732219259633e-07
2	10.872	15.138	0.707	2.14732219259633e-07
2	10.8775	6.519	1.4835	4.29464438519267e-07
2	10.934	2.2855	1.7875	4.29464438519267e-07
2	11.2102205726405	1.48342205726405	0.26371474019088	0.000202492482761834
2	11.2538261538462	1.41455435897436	0.174135384615385	0.000418727827556285
2	11.43875	1.52375	1.11375	8.58928877038534e-07
2	11.5835901455767	1.38832138857783	0.371103023516237	0.000191755871798853
2	11.6146956521739	3.31386956521739	1.48908695652174	4.93884104297157e-06
2	11.6855	18.7405	0.205	4.29464438519267e-07
2	11.7145	0.69725	0.231	8.58928877038534e-07
2	11.72	1.45444680851064	0.487329787234043	2.01848286104055e-05
2	11.727	11.5535	0.238	4.29464438519267e-07
2	11.9009315068493	5.03075342465753	0.191561643835616	1.56754520059532e-05
2	11.9594	42.2488	24.9922	1.07366109629817e-06
2	11.986	1.38973333333333	0.654166666666667	6.441966577789e-06
2	12	38.416	1.02	2.14732219259633e-07
2	12.0155379310345	2.26241780564263	0.372834357366771	0.00171248944859558
2	12.061524137931	2.3044275862069	0.655	3.11361717926468e-05
2	12.0683111111111	0.660977777777778	0.153318518518519	2.89888496000505e-05
2	12.13225	24.9775	0.54875	8.58928877038534e-07
2	12.1508666666667	2.19706666666667	1.08893333333333	3.2209832888945e-06
2	12.2324583333333	6.93475	0.19025	5.1535732622312e-06
2	12.2523434610304	2.26572391017173	0.489313077939234	0.000162552289979542
2	12.2554091117742	2.12698806518247	0.179265779205876	0.00187117655862845
2	12.3290476190476	9.43766666666667	0.387190476190476	4.5093766044523e-06
2	12.3887777777778	12.259	0.493888888888889	1.9325899733367e-06
2	12.4184284145002	2.12474661296229	0.266156352984255	0.000586433690798059
2	12.481924403183	3.46976525198939	0.246033156498674	0.000161908093321764
2	12.495875	2.24475	1.452	3.43571550815413e-06
