Tx size [kB],Plutus steps [ms],Fraction of txs [%/100]
0.581829170829171,9.18812912818692,0.000125068795472968
1.14564387646546,0,0.681651395658918
1.14589582572294,0.364272600266727,0.144983582100244
1.18145,5.9890997881375,1.11061201441197e-06
1.289,7.872664446,1.38826501801496e-08
1.39673737476326,1.52219205132981,0.0143524668275462
1.43396630541415,2.78278747166899,0.00179720624437163
1.58649808054196,3.49324368260813,0.000184431007643287
1.72310117647059,4.80895302695294,1.77003789796907e-05
2.008125,8.2576126955,1.11061201441197e-07
2.52899842964824,9.51255312969441,4.42023581735963e-05
2.53093867420934,2.73157152261348,0.00100125837894293
2.53992910620559,0.371819653066943,0.0337550253111255
2.55089027911453,3.66321611214543,0.000274057397206333
2.84199886913632,1.67943535946796,0.00842143772168163
2.92511855141783,4.80242239437991,4.06345170772979e-05
3.06015527950311,5.85562338952795,2.23510667900409e-06
3.11773684210526,7.05232683921053,2.63770353422842e-07
4.24528521373511,9.97929918783392,1.98105418070735e-05
4.28117836676218,4.94342367964327,1.93801796514888e-05
4.31649397590361,5.89489476455723,4.60903985980967e-06
4.54789814411009,2.73648484013449,0.000572992503535494
4.72375,7.139228521875,2.22122402882394e-07
4.74819748719085,0.462325259116211,0.0117809835346771
4.75183858223766,1.64436017321511,0.00671531554514196
4.98204372493397,3.88501719258313,0.000425766998375008
5.42741666666667,8,1.66591802161795e-07
6.05101507668115,1.65432905208383,0.00181858552564906
6.08092986045638,0.42509375427765,0.0156670705037053
6.10064,9.81955265772,1.7353312725187e-06
6.11685106382979,7.99745303989362,1.95745367540109e-06
6.12503121687399,3.87676118390776,0.000641725504577415
6.1798620263882,2.66161132624501,0.000393517602006521
6.24273684210526,7.1550243521579,2.63770353422842e-07
6.29255518617021,4.79867862519947,2.0879505870945e-05
6.45761403508772,5.98113704171491,6.33048848214822e-06
8.02939285714286,9.357142857,3.88714205044189e-07
8.02964353478567,3.79456174365917,7.90200448254115e-05
8.07154612365064,4.96533114582188,2.82928410671449e-05
8.16240052921106,2.69810615596344,0.000199368739237128
8.27664501090815,0.360506181122446,0.0028826351313568
8.31922770919067,5.99701142452881,2.02409039626581e-05
8.34952808988764,6.99858095296629,1.23555586603331e-06
8.38387828207949,1.79540750310211,0.000870816997850244
8.90043260188088,8.00011700665413,1.32856962224032e-05
9.31280198019802,8,1.40214766819511e-06
9.67372247861445,0.816130332767326,0.0530331397184899
9.72441279069767,5.97373301186628,2.38781583098573e-06
9.76188045471214,5.086006488978,3.7857987041268e-05
9.88294319010867,3.00254990921121,0.000723091717283272
10.1137619047619,6.80332224704762,2.91535653783142e-07
10.1354370850202,3.88387693616324,8.57253648624238e-05
10.178,9.33333333333333,4.16479505404488e-08
10.3764505024833,1.24734419018812,0.00631439849058942
11.2230442523196,1.60540255295728,0.000460848455380246
11.3631364456406,0.380421318422232,0.000938800335782436
11.392698296837,8.61232116788321,5.70576922404149e-06
11.4373510662958,3.92623896797589,0.000119779505754331
11.5096147368421,4.86190227568211,6.59425883557106e-06
11.5504722222222,6.76111111111111,4.99775406485386e-07
11.5516893328211,2.88257785140991,0.000108409615256788
11.815,9.5769040685,2.77653003602992e-08
12.5547058823529,5.91637394418382,9.44020212250173e-06
12.983,8,1.52709151981646e-07
13.261,10,1.38826501801496e-08
13.7743773752044,1.51890298442904,0.00507769036459116
13.8331721461187,0.818937973070494,0.00063846308178508
13.9041666666667,7.04403124788889,2.49887703242693e-07
13.9571268379097,2.72508261015695,7.83675602669445e-05
14.2632205573081,3.93176389281458,0.000158428803855867
14.3144561403509,5.65791069830702,3.16524424107411e-06
14.3500766170285,4.81718941202865,0.000122125673634776
14.847,10,1.38826501801496e-08
15.4396007320178,4.98919491129313,8.72385737320601e-05
15.4741352717316,1.70876207639618,0.0016123865225233
15.5221111111111,7.22222222222222,1.24943851621346e-07
15.6299481865285,5.76849281581347,5.35870296953775e-06
15.7010927769153,0.357452291838462,0.000152028902122818
15.7079178324116,2.66481894014277,0.000298712983926279
16.0510176005562,3.97334264787659,0.00107823767419186
