phase	t	slot	bpsUp	cpu	diskGB	confirmed	submitted	blockdelay	partition	blocks	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
1	101	130	3	7	126	53.59322033898305	77.71186440677965	0.22186828216666665	0.007639253285714285	7	18808	18823	18831	26175	15741	18638	18854	17533	19062	19036	16233	19028	226.4406779661017	229.1206896551724	226.05084745762713	0	190.3728813559322	223.83050847457628	227.0445	206.61016949152543	225.8554022988506	255.25423728813558	210.89830508474577	254.91525423728814
1	111	166	3	43	126	264.0677966101695	89.76271186440678	0.4169850353333333	0.03806378233333333	8	8644	8715	8709	14392	4957	8439	8730	7210	8698	8682	5547	8646	253.52542372881356	226.1678172413793	253.64406779661016	0	202.8135593220339	224.8793103448276	224.92427126436777	226.03389830508473	223.6046120689655	224.39456436781606	188.3456356321839	223.93173448275863
1	121	176	3	51	125	230	144.91525423728814	0.2880251375833333	0.0343063784	9	10640	10702	10657	18124	6784	10407	10859	9122	10888	10872	7626	10808	223.76271186440678	224.46305948275864	223	0	177.28813559322035	220.94045201149424	222.61016949152543	193.6949152542373	222.135593220339	223.4237288135593	187.33898305084745	222.20338983050848
1	131	184	3	15	125	243.0169491525424	141.11864406779662	1.1067760789166667	0.09653343638461538	13	12290	12339	11541	20708	7611	11996	12330	9876	12394	11762	8698	11951	255.41379310344828	250.94147241379312	254.1551724137931	0	205.1206896551724	248.52052586206898	249.1612948275862	223.55172413793102	249.84920919540227	249.26784655172412	216.47655948275863	249.27017959770114
1	141	184	3	9	125	240.58620689655172	200.08474576271186	1.1067760789166667	0.09653343638461538	13	13948	14225	13975	24270	10041	13635	14098	12206	14246	14182	9815	14193	222.61344827586203	220.84745762711864	224.3448275862069	0	186.43489396551723	215.52542372881356	220.3050847457627	192.63492672413796	222.03389830508473	221.5593220338983	183.77966101694915	221.64406779661016
1	151	184	3	8	125	236.50847457627117	273.0344827586207	1.1067760789166667	0.09653343638461538	13	16630	16661	16655	28301	12393	16065	16500	14884	16684	16618	11748	16629	249.864406779661	249.89830508474577	249.5593220338983	0	214.98305084745763	242.59322033898306	246.88135593220338	222.6271186440678	250.98305084745763	254.6206896551724	201.38983050847457	250.66101694915255
1	161	184	3	7	125	237.48665459770115	335.82818994252875	1.1067760789166667	0.09653343638461538	13	18824	19097	18847	31929	14099	18149	18938	17324	19122	19056	13552	19065	221.72749655172413	220.98305084745763	221.67067126436783	0	200.96013563218395	208.45762711864407	217.9322033898305	213.45762711864407	221.864406779661	222.8752948275862	179	225.39655172413794
1	171	184	3	8	125	19.52542372881356	310.40677966101697	1.1067760789166667	0.09653343638461538	13	21506	21535	21523	31929	15838	19558	21368	19731	21562	21492	15772	21499	251.72881355932202	251.6271186440678	251.1864406779661	0	219.03389830508473	222.64406779661016	248.64406779661016	246.0677966101695	227.75862068965517	224.2229068965517	181.3965356321839	225.20225000000002
1	181	229	3	9	125	202.5173793103448	278.55464367816086	0.5998997163333333	0.10622615821428572	14	12367	12596	12344	22874	6784	10453	12437	10782	12621	12561	6649	12572	223.39030689655172	222.57627118644066	222.72324827586206	0	190.0677966101695	191.4915254237288	224.17241379310346	218.5593220338983	224.97280459770116	224.16995172413795	178.22777931034483	225.1828405172414
1	192	241	3	8	125	424.6949152542373	282.6949152542373	0.7626232211666667	0.1364700073125	16	11990	12003	11904	23490	5745	9770	11800	10181	11990	11952	5873	11973	226.4406779661017	225.89830508474577	225.9322033898305	0	192.0677966101695	195.28813559322035	225.42394482758618	223.74576271186442	227.43761494252874	226.83380689655175	180.93503448275862	227.4590459770115
1	202	241	3	8	125	424.6949152542373	282.271186440678	0.7626232211666667	0.1364700073125	16	14420	14437	14341	27884	7556	12019	14480	11791	14662	14618	8449	14633	252.40677966101694	226.89655172413794	250.40677966101694	0	202.83050847457628	219.4406779661017	222.84745762711864	241.20338983050848	251.35593220338984	251.4915254237288	211.84745762711864	251.96610169491527
1	212	241	3	9	125	424.6949152542373	282.03389830508473	0.7626232211666667	0.1364700073125	16	16850	16877	16773	31505	9619	14433	16542	13884	16858	16808	10451	16825	223.45762711864407	224.4270827586207	221.32203389830508	0	174.135593220339	191.83050847457628	221.9140045977011	207.10169491525423	222.63659195402298	222.4474816091954	195.4740275862069	222.9643885057471
1	222	241	3	8	125	424.6949152542373	260.3728813559322	0.7626232211666667	0.1364700073125	16	19290	19315	19207	33399	11536	16705	19084	15645	19540	19488	13091	19374	252.5084745762712	253.28541379310346	250.3050847457627	0	195.79661016949152	227.75862068965517	247.4915254237288	219.98305084745763	251.52542372881356	251.6949152542373	236.135593220339	249.61016949152543
1	232	241	3	7	125	424.6949152542373	260.3728813559322	0.7626232211666667	0.1364700073125	16	21732	21751	21643	33399	13494	18858	21276	17739	21736	21680	14939	21562	223.52542372881356	223.62177988505746	221.38983050847457	0	184.5593220338983	210.55545747126436	218.3017775862069	192.91379310344828	221.9688275862069	221.71130057471262	210.33702586206897	220.01348362068964
1	242	296	3	50	125	239.44827586206895	214.3728813559322	0.6072600556666666	0.14484515223529412	17	24104	24099	23973	33399	15153	20681	23786	19603	24266	24218	17031	24084	259.2413793103448	254.56410977011492	257.3103448275862	0	205.79310344827587	234.18971379310344	249.1864406779661	210.62836781609195	253.83050847457628	253.9322033898305	232.77966101694915	251.88135593220338
1	252	305	3	11	125	237.38983050847457	205.1206896551724	0.42935249425	0.13683570322222222	18	15183	15185	15092	25241	6258	11130	14689	10714	15155	15029	7914	14985	228.71186440677965	228.84745762711864	227.76271186440678	0	183.28813559322035	199.66101694915255	223.59322033898306	184	228.33898305084745	227.72881355932202	209.76271186440678	225.5084745762712
1	262	305	3	8	125	238.47227356321838	202.93611724137932	0.42935249425	0.13683570322222222	18	17377	17128	17284	29251	8216	12904	17113	12772	17591	17459	10118	17371	226.37135057471266	223.2186054597701	226.11047586206897	0	188.35525172413793	196.52346465517243	220.27118644067795	188.5831028735632	225.22033898305085	227.75862068965517	211.13793103448276	222.5593220338983
1	272	305	3	9	125	237.38983050847457	202.36607931034484	0.42935249425	0.13683570322222222	18	20059	19591	19966	33263	10746	14436	19556	15376	20027	19895	12449	19803	225.59322033898306	217.10169491525423	225.28813559322035	0	190.25423728813558	177.52542372881356	250.91525423728814	199.76271186440678	229.10344827586206	225.15465057471266	208.0150922413793	226.86206896551724
1	282	305	3	7	125	237.38983050847457	193.61016949152543	0.42935249425	0.13683570322222222	18	22495	21988	22392	33532	12702	16483	21808	17754	22461	22569	14239	22235	225.4915254237288	216.864406779661	225.22033898305085	0	194.0677966101695	169.52542372881356	226	207.89830508474577	226.51128620689653	223.79661016949152	204.04626206896552	225.2038551724138
1	292	346	3	11	125	472.76271186440675	214.46097126436783	0.363619235	0.13867164280000002	20	10730	10246	10641	21056	844	4493	10079	5806	10652	10546	1901	10472	251.6271186440678	242.38983050847457	251.25423728813558	0	214.3728813559322	192.33898305084745	249.7206793103448	231.40677966101694	251.83384080459768	250.06220344827585	211.83251954022987	251.16600000000005
2	303	346	3	10	125	241.88135593220338	285.6101694915254	0.363619235	0.13867164280000002	20	13166	12636	13105	25055	3284	6913	12453	8174	13090	13296	3957	12902	220.57627118644066	215.8448275862069	220.8135593220339	0	201.5593220338983	173.10169491525423	218.48833275862071	212.4915254237288	220.73333333333335	219.35593220338984	190.2888798850575	220.145416091954
2	313	346	3	11	125	235.3728813559322	338.9929427966102	0.363619235	0.13867164280000002	20	15580	16238	15660	31106	5718	9345	19383	10494	17407	17272	5552	17218	251.9322033898305	255.9322033898305	254.96610169491527	24.055283333333332	233.72881355932202	212.89830508474577	248.32203389830508	241.61016949152543	275.8813559322034	275.4406779661017	200.84745762711864	275.50847457627117
2	323	376	3	18	125	416.3559322033898	361.28449417372883	1.0415580915833333	0.16868081022727274	22	7058	8026	7135	33662	272	857	24374	1847	20646	20407	96	20359	226.0677966101695	244.44082413793103	229.76271186440678	40.731465517241375	211.76271186440678	201.17241379310346	222.6384775862069	215.8135593220339	268.2442097701149	268.1354	177.63221896551724	268.4871402298851
2	333	376	3	12	125	416.3559322033898	422.00239651238587	1.0415580915833333	0.16868081022727274	22	10047	11089	9677	27562	3022	4052	20489	5805	14254	13988	3002	13972	259.40677966101697	249.28828505747128	254.84745762711864	45.287068965517236	244.22033898305085	206.16033103448277	245.67796610169492	271.3965517241379	326.91525423728814	325.49152542372883	205.5593220338983	325.9491525423729
2	343	395	3	12	124	531.4745762711865	544.3630037193973	0.5049777195833333	0.1670953482173913	23	6938	7500	5236	26480	1192	1607	19540	3326	11160	10850	799	10873	242.25423728813558	264.50847457627117	231.3103448275862	81.90137711864408	237.71186440677965	249.76271186440678	219.6271186440678	258.4406779661017	315.864406779661	314.2542372881356	198.54237288135593	314.9491525423729
2	353	395	3	12	124	296.10169491525426	644.0180271426855	0.5049777195833333	0.1670953482173913	23	9352	10531	8009	31967	5092	6447	25864	7977	15087	14767	4659	14803	272.20338983050846	272.5593220338983	258.0508474576271	99.71574152542374	303.93220338983053	278.79661016949154	219.52542372881356	339.8305084745763	333.50847457627117	331.45762711864404	218.05084745762713	332.10169491525426
2	363	413	3	14	124	490.9747844827586	664.6222103448276	0.6485458624166667	0.17189797320833333	24	8843	9034	5507	30634	4019	5838	26961	7305	14344	14003	3493	14072	245.3707114942529	280.79661016949154	228.87334971264372	124.69586779661019	292.4659841954023	351.8474576271186	247.22033898305085	326.864406779661	395.6271186440678	364.63793103448273	264.05172413793105	394.6271186440678
2	373	413	3	12	124	488.76271186440675	644.5669752873564	0.6485458624166667	0.17189797320833333	24	12706	12281	8888	33465	8421	10676	33305	12145	18501	18199	7471	18232	255.40677966101694	287.1186440677966	232.20338983050848	129.35593220338984	312.4237288135593	351.9491525423729	218.3728813559322	357.23728813559325	373.41379310344826	366.9317011494253	292.4931149425288	372.5
2	383	413	3	10	124	307.77966101694915	568.3220338983051	0.6485458624166667	0.17189797320833333	24	16221	15389	11990	33465	12376	14820	33803	16142	22493	22590	11222	22619	311.2542372881356	323.7118644067797	275.8135593220339	112.67796610169492	377.9830508474576	428.96610169491527	218.27586206896552	434.2881355932203	417.06408620689655	412.40677966101697	350.52542372881356	413.7118644067797
2	393	413	3	9	124	307.77966101694915	435.6095264367816	0.6485458624166667	0.17189797320833333	24	19506	18458	14893	33465	15771	18804	33803	20134	26354	26131	14030	26166	289.864406779661	292.76271186440675	258.45762711864404	89.64406779661017	363.2881355932203	409.6101694915254	163.36050172413792	402.93220338983053	376.2972235632184	375.40958879310347	332.39898275862066	376.9807399425287
2	404	458	3	46	124	373.1694915254238	355.93220338983053	0.39660835650000004	0.16700368065384616	26	15028	13633	9667	27947	10862	14992	28236	16253	21945	21935	10849	21742	322.728813559322	329.13793103448273	292.64406779661016	84.86206896551724	394.35593220338984	453.22033898305085	146.62483620689653	446.22033898305085	370.00427586206894	405.52542372881356	366.77300258620687	371.8771396551725
2	414	458	3	11	124	373.1694915254238	328.4716143678161	0.39660835650000004	0.16700368065384616	26	17247	16811	13144	33114	14295	19133	33003	20461	25387	25191	14935	25202	295.77966101694915	294.48452988505744	277.67477586206894	73.25644137931035	345.1694915254237	394.9491525423729	116.39380344827586	391.2881355932203	359.965591954023	361.40986206896554	331.52505	362.5168206896551
2	424	458	3	10	124	180.50847457627117	234.6949152542373	0.39660835650000004	0.16700368065384616	26	20134	20787	15926	33114	17869	23989	33003	25048	29532	29344	19803	29359	302.6271186440678	308.5266321839081	319.3898305084746	77.44675287356321	341.22033898305085	416.8965517241379	99.43786666666668	407.20338983050846	366.6751005747127	368.15271666666666	350.91508965517244	368.7962051724138
2	434	482	3	14	124	338.8474576271187	206.5593220338983	0.6178950545833333	0.16931957703703707	27	14175	14981	9134	26134	12598	18639	26467	19747	24656	24394	15257	24426	286.2881355932203	315.2406408045977	277.64406779661016	55.893152586206895	333.91525423728814	398.97767241379313	51.86440677966102	398.0689655172414	360.20338983050846	408.50847457627117	364.22033898305085	361.76271186440675
2	444	482	3	12	124	338.8474576271187	337.4237288135593	0.6178950545833333	0.16931957703703707	27	18287	19041	11893	33053	17916	23957	32765	25057	29188	28989	20093	28994	290.4406779661017	324	278	84.59322033898304	344.4406779661017	405.9830508474576	80.7457627118644	401.3050847457627	370.08474576271186	371.23728813559325	381.2881355932203	371.89830508474574
2	454	507	3	50	124	574.2372881355932	345.23728813559325	0.7124518289166666	0.17498800017857144	28	21512	21653	9944	33053	22122	27638	32765	28639	32698	32460	23920	32469	301.271186440678	364.3220338983051	268.4406779661017	108.69491525423729	378.20338983050846	465.9830508474576	104.77966101694915	459.79661016949154	420.0169491525424	419.96610169491527	453.5762711864407	420.4406779661017
2	464	507	3	11	124	395.42399712643686	376.7641939655172	0.7124518289166666	0.17498800017857144	28	20418	20212	11995	32909	22396	27768	32578	28711	32344	32229	23960	32243	301.1797413793103	329.1186440677966	261.1888166666667	110.79661016949153	389.9314379310345	417.9491525423729	107.86440677966101	412.7118644067797	384.9491525423729	395.1551724137931	432.01724137931035	394.2586206896552
2	474	507	3	7	124	393.728813559322	286.19761350574714	0.7124518289166666	0.17498800017857144	28	24448	22865	14531	32909	27271	31794	32578	32714	34017	33250	28113	33808	359.6101694915254	355.864406779661	271.5762711864407	98.79661016949153	465.4406779661017	471.5593220338983	95.62711864406779	464.864406779661	409.32758620689657	393.1711379310344	482.3796270114942	403.62982758620683
2	484	507	3	6	124	393.728813559322	284.93220338983053	0.7124518289166666	0.17498800017857144	28	28078	25480	16803	32909	30866	34327	32578	34132	34017	33250	32477	33808	334.0169491525424	292.79661016949154	231.84745762711864	87.83050847457628	429.93220338983053	403.45762711864404	88.89655172413794	387.8305084745763	304.9866206896552	291.728813559322	410.8813559322034	301.66101694915255
2	495	545	3	42	123	470.77966101694915	213.87110431034483	0.6691089440833333	0.17973613306896552	29	21874	18637	9561	25549	24505	25674	23962	25555	25163	24329	25134	24911	380.3728813559322	312.91525423728814	253.57627118644066	82.22413793103448	456.3898305084746	373.6949152542373	81.57241896551724	353.8135593220339	259.59272988505745	248.45481206896554	409.9718077586207	258.59962873563217
2	505	553	3	14	123	483.79661016949154	210.5762711864407	0.5299621985833333	0.16821552148387098	31	23893	20840	10775	29457	27488	28563	27892	28366	28148	27762	28619	27764	320.4237288135593	257.9136307471265	209.54237288135593	53.91664310344827	380.3728813559322	297.1186440677966	54.6196908045977	276.0508474576271	203.26066666666668	192.6949152542373	354.9991896551724	199.50791637931033
2	515	553	3	7	123	248.40677966101694	268.6271186440678	0.5299621985833333	0.16821552148387098	31	27482	24573	13031	32241	32299	33393	31323	32941	32956	32571	33437	32207	318.7457627118644	302.9491525423729	206.23728813559322	82.20338983050847	379.6949152542373	309.4655172413793	83.05084745762711	281.864406779661	213.71186440677965	205.22033898305085	360.35593220338984	211.4406779661017
2	525	553	3	5	123	248.40677966101694	176.40677966101697	0.5299621985833333	0.16821552148387098	31	30692	27277	15511	32241	33241	33620	31323	33589	32956	32571	33485	32207	364.91525423728814	274.14506666666665	210.91525423728814	68.31920689655173	402.54237288135596	259.76457931034486	71.55562068965519	248.05172413793102	214.36879856321843	206.93608448275862	372.3324137931035	202.17211494252874
2	535	553	3	4	123	252.68965517241378	176.40677966101697	0.5299621985833333	0.16821552148387098	31	31999	30359	18262	32241	33241	33620	31323	33589	32956	32571	33485	32207	314.1896551724138	277.89218793103447	219.1206896551724	54.66101694915254	291.6034482758621	211.52788218390802	58.91525423728814	197.23282471264366	153.3728813559322	159.83050847457628	268.47457627118644	144.22033898305085
2	545	553	3	3	123	248.40677966101694	179.44827586206895	0.5299621985833333	0.16821552148387098	31	31999	31627	20833	32241	33241	33620	31323	33589	32956	32571	33485	32207	266.47457627118644	294.79661016949154	252.42525000000003	54.66101694915254	236.8135593220339	163.45762711864407	58.91525423728814	162.16949152542372	153.3728813559322	159.83050847457628	220.96610169491527	144.22033898305085
2	555	553	3	3	123	6.508474576271186	143.79661016949152	0.5299621985833333	0.16821552148387098	31	31999	31627	23319	32241	33241	33620	31323	33589	32956	32571	33485	32207	188.40677966101694	234.57627118644066	227.52542372881356	48.813559322033896	165.5593220338983	148.8135593220339	52.74576271186441	151.45762711864407	141	148.6206896551724	155.4655172413793	134.1206896551724
2	565	553	3	2	123	0	32.2926091954023	0.5299621985833333	0.16821552148387098	31	31999	31627	25633	32241	33241	33620	31323	33589	32956	32571	33485	32207	159.41824856321838	202.89830508474577	264.71397356321836	28.949152542372882	126.35593220338983	110.15254237288136	32.67796610169491	114.05084745762711	102.5	106.82700258620692	113.3943818965517	94.70452787356322
2	575	627	3	14	123	228.864406779661	13.186440677966102	0.7096006924166667	0.1725758464375	32	25125	18586	14750	27610	20398	20543	18295	20583	19713	19245	20153	18876	73.49152542372882	120.76271186440678	238.57627118644066	0	11.728813559322035	0	0	5.0508474576271185	0	0	0	0
2	586	627	3	12	123	228.864406779661	125.50847457627118	0.7096006924166667	0.1725758464375	32	27549	22499	17259	32190	25235	25395	24626	25162	25040	24572	25448	24200	77.01694915254237	157.71186440677965	267.6949152542373	15.59322033898305	90.62711864406779	33.559322033898304	17.97433448275862	85.77966101694915	36.17437873563218	37.559322033898304	88.89830508474576	35.59322033898305
2	596	627	3	12	123	228.864406779661	185.18293333333335	0.7096006924166667	0.1725758464375	32	29987	26459	19684	32190	29989	30235	30943	29727	29400	28933	29407	28568	72.23728813559322	134.82758620689654	232.71186440677965	31.337037931034484	148.4406779661017	148.94915254237287	75.71186206896553	140.3050847457627	151.94988333333333	153.10018620689652	143.78534913793106	151.4714603448276
3	606	653	3	9	123	464.2542372881356	208.135593220339	0.83331233	0.17682049915151515	33	31522	28575	21232	32417	32653	32991	31837	32872	32926	32949	32581	32019	98.8135593220339	158.17437614942529	229	31.27689310344828	193.20338983050848	196.6551724137931	90.65220000000001	185.33898305084745	198.44037816091952	198.76271186440678	184.25423728813558	198.1833425287356
3	616	653	3	3	123	464.2542372881356	208.135593220339	0.83331233	0.17682049915151515	33	32654	31359	23687	32417	33354	33750	31837	33531	33198	32949	33311	33466	135.64406779661016	221.25423728813558	252.89830508474577	35.11864406779661	237.3050847457627	239.13082557471265	93.1864406779661	234.40677966101694	239.47457627118644	239.57627118644066	232.4406779661017	256.728813559322
3	626	674	3	15	122	699.6440677966102	285.6224678412132	0.7383786548333333	0.18094478111764706	34	25896	19608	13438	27070	21743	22067	20560	21860	21205	22072	21299	21351	140.4310344827586	231.32082758620686	225.08620689655172	35.175177011494256	241.39655172413794	238.70789885057474	93.08050804597703	238.44827586206895	238.66235833333337	238.30472701149426	231.46709885057473	255.76667068965517
3	636	674	3	14	122	478.8965517241379	446.74003787258914	0.7383786548333333	0.18094478111764706	34	28322	24123	16864	32536	26625	26915	26888	26800	27709	31622	26617	27403	189.03389830508473	330.5762711864407	261.2881355932203	83.66101694915254	342.79661016949154	346.1694915254237	147.9322033898305	341.4237288135593	366.79661016949154	351.03389830508473	338.03389830508473	376.47457627118644
3	646	674	3	9	122	473.33337011494245	413.18370097259066	0.7383786548333333	0.18094478111764706	34	30758	28486	19222	32536	32581	33435	32759	33374	33341	33553	32529	33110	175.6514405172414	304.22033898305085	234.3841344827586	52.54237288135593	323.1271034482759	325.271186440678	130	326.7118644067797	344.0508474576271	281.58620689655174	316.8813559322034	351.1694915254237
3	656	710	3	49	122	706.1694915254237	348.8645641039175	0.7357747729166667	0.18533480382857143	35	32536	31089	13977	32536	34048	34330	32759	34132	33341	33553	34116	33350	193.23728813559322	333.3220338983051	268.4406779661017	52.54237288135593	329.49152542372883	327.3220338983051	111.22033898305085	333.1525423728813	324.6206896551724	220.36094540229885	337.05172413793105	338.1206896551724
3	666	710	3	16	122	470.77966101694915	503.1186440677966	0.7357747729166667	0.18533480382857143	35	26237	26211	17336	30157	30732	30680	29405	30456	29496	32914	30991	29237	161.10169491525423	301.10169491525426	255.61016949152543	77.42372881355932	292.7457627118644	290.864406779661	114.86206896551724	289.96610169491527	283.4835729885057	178.4406779661017	297.49152542372883	286.9978129310345
3	676	726	3	19	121	706.1694915254237	576.4204712643677	0.8589590887499999	0.18926533866666664	36	22725	23984	14676	28438	29333	29206	29820	28960	28269	29070	29082	27091	198.5593220338983	311.8305084745763	266.475475	118.94915254237289	352.3728813559322	349.8813559322034	142.63359310344828	347.1186440677966	346.64174999999994	214.0328586206897	360.50526206896546	336.8848643678161
3	687	736	3	14	121	477.2881355932203	571	0.5178886783333333	0.1841658555135135	37	24821	26997	17191	32513	33182	33031	32085	32852	32106	33352	32848	30649	201.57627118644066	337.44827586206895	278.7457627118644	139.8448275862069	397.4406779661017	440.3220338983051	138.62060689655172	438.45762711864404	440.785549137931	264.8586379310345	400.02517241379314	413.8640379310344
3	697	745	3	5	121	483.79661016949154	408.6440677966102	0.4282017221666667	0.17937011389473684	38	27133	30380	19977	32533	33376	33169	32046	33068	32931	33346	33497	31186	204.88135593220338	326.1145655172414	273.9491525423729	116.29667816091954	366.20338983050846	352.9491525423729	111.76177011494251	355.8474576271186	339.1694915254237	153.11864406779662	364.52542372881356	313.77966101694915
3	707	745	3	5	121	483.79661016949154	359.56705775862076	0.4282017221666667	0.17937011389473684	38	29880	31937	23225	32533	33376	33169	32046	33068	32931	33346	33497	31186	241.57627118644066	341.75050402298854	320.50847457627117	119.37124022988505	302.8135593220339	293.55172413793105	85.12417643678161	291.3220338983051	274.1590172413793	134.98236781609197	306.6744882183908	250.5921474137931
3	717	763	3	15	121	477.271186440678	461.5932203389831	0.6815292508333334	0.18284644366666664	39	19292	25708	15825	23602	23357	22998	32013	22951	22420	26280	22937	20576	224.91525423728814	269.9990022988506	288.864406779661	131.62574712643678	254.05084745762713	249.87617241379306	77.98959425287356	248.135593220339	260.7377974137931	149.91525423728814	252.58711954022985	232.96911494252873
3	727	763	3	13	121	485.5	401.9491525423729	0.6815292508333334	0.18284644366666664	39	22683	28983	19040	32223	28768	28326	32013	28278	28335	33477	28962	26169	292.32758620689657	311.8647	334.48275862068965	196.47457627118644	344.0344827586207	266.12297557471265	65.2542372881356	334.91379310344826	339.6271186440678	150.91525423728814	337.10169491525426	304.2881355932203
3	737	786	3	10	120	477.271186440678	318.01724137931035	0.8019398379166667	0.186585391575	40	25524	31836	21684	33245	32735	32833	31947	32736	32254	33468	32689	29870	269.8474576271186	263.66101694915255	294.23146551724136	156.22033898305085	276.8135593220339	272.23728813559325	25.322033898305083	274.4406779661017	277.271186440678	134.59322033898306	275.08474576271186	259.06779661016947
3	747	794	3	5	120	477.271186440678	269.728813559322	0.5108660420000001	0.18205187131707318	41	28172	32484	25302	33221	32709	32883	31979	33164	32567	33468	32668	30458	314.96610169491527	264.0169491525424	341.91525423728814	130.57627118644066	263.0169491525424	257.3050847457627	16.627118644067796	274.49152542372883	262.8305084745763	111.06896551724138	255.05084745762713	248.864406779661
3	757	794	3	3	120	472.24683189655167	260.7501025862069	0.5108660420000001	0.18205187131707318	41	30587	32484	28883	33221	32709	32883	31979	33164	32567	33468	32668	30458	293.58850689655173	172.84745762711864	314.118583045977	127.76271186440678	231.20154367816096	237.05084745762713	17.694915254237287	243.54237288135593	239.8103448275862	109.81905000000002	229.4410344827586	233.51724137931035
3	767	794	3	2	120	470.76271186440675	260.2793948275862	0.5108660420000001	0.18205187131707318	41	30587	32484	30085	33221	32709	32883	31979	33164	32567	33468	32668	30458	263.1864406779661	154.96610169491527	315.7457627118644	127.76271186440678	230.57627118644066	237.05084745762713	15.724137931034482	243.54237288135593	237.17243103448277	109.62100775862068	229.0277316091954	230.86682068965516
3	777	794	3	1	120	241.89830508474577	132.38983050847457	0.5108660420000001	0.18205187131707318	41	30587	32484	30085	33221	32709	32883	31979	33164	32567	33468	32668	30458	232.35593220338984	149.89830508474577	244.864406779661	115.35593220338983	213.54237288135593	217.38983050847457	12.504390229885058	225.76271186440678	216.8132051724138	94.57627118644068	213.15463735632184	208.55215057471267
