script_hash,purpose,redeemer_count,mem_avg,steps_avg,redeemer_fraction,mem_fraction,steps_fraction
a65ca58a4e9c755fa830173d2a5caed458ac0c73f97db7faae2e7e3b,spend,5048650,94061.642099967318,45680433.515345092252,0.09084817936102616434,0.00669104365638895818,0.00929687674258398551
9068a7a3f008803edac87af1619860f2cdcde40c26987325ace138ad,spend,4522925,1677602.301129689305,498053820.38214739,0.08138799513463386536,0.10690904315135571215,0.09080865731343034008
e1317b152faac13426e6a83e06ff88a4d62cce3c1634ab0a5ec13309,spend,4003267,2846157.883381997753,870111236.45200557,0.07203698383648641317,0.16053864295208152288,0.14041739956880298896
4a59ebd93ea53d1bbf7f82232c7b012700a0cf4bb78d879dabb1a20a,spend,2615267,5513939.964341690542,2115175793.13608897,0.04706054994760437221,0.20318147565968661860,0.22299447026663222753
c3e28c36c3447315ba5a56f33da6a6ddc1770a876a8d9f0cb3a97c4c,spend,1831475,53041.787076536671,21440347.772506859225,0.03295656646732005474,0.00136875332071534737,0.00158293985074125369
464eeee89f05aff787d40045af2a40a83fd96c513197d32fbc54ff02,spend,1667814,165010.985743614096,34348090.864762497497,0.03001156059794806359,0.00387763134107515989,0.00230930773635579566
0237cc313756ebb5bcfc2728f7bdc6a8047b471220a305aa373b278a,spend,1551738,358549.059107916414,143964402.89614999,0.02792282533852020208,0.00783922312677911574,0.00900544354854521508
ea07b733d932129c378af627436e7cbc2ef0bf96e0036bb51b3bde6b,spend,1511965,85226.647917775874,26477845.529342279749,0.02720712814467113477,0.00181561260193993099,0.00161382327394163032
96f5c1bee23481335ff4aece32fe1dfa1aa40a944a66d2d6edc9a9a5,reward,1450096,435881.927817192793,166048706.43047081,0.02609382339807802023,0.00890577381175647277,0.00970652647688344858
1eae96baf29e27682ea3f815aba361a0c6059d45e4bfbe95bbd2f44a,reward,1419706,1450697.315194131743,478134349.56262212,0.02554696905666366488,0.02901892153673218892,0.02736402351372001882
a55f409501bf65805bb0dc76f6f9ae90b61e19ed870bc00256813608,spend,1326529,2768405.043754037793,1020928220.24004677,0.02387029097275562314,0.05174309754645070276,0.05459382832070410491
ba158766c1bae60e2117ee8987621441fac66a5e0fb9c7aca58cf20a,spend,1118918,421925.056687800178,151792870.52585534,0.02013442467873207169,0.00665180671108330617,0.00684669885951312520
c727443d77df6cff95dca383994f4c3024d03ff56b02ecc22b0f3f65,spend,825725,149913.501170486542,53520143.686044385237,0.01485854889978178910,0.00174414354055005746,0.00178149372384229580
4020e7fc2de75a0729c3cc3af715b34d98381e0cdbcfa99c950bc3ac,spend,811764,4884355.231936868351,1566707046.61628010,0.01460732700243115353,0.05586542056314281658,0.05126833063076124136
905ab869961b094f1b8197278cfe15b45cbe49fa8f32c6b014f85a2d,spend,770013,549777.836540422045,219905058.05988470,0.01385603659083553819,0.00596473740015838865,0.00682597775087166670
86ae9eebd8b97944a45201e4aec1330a72291af2d071644bba015959,spend,669630,298428.700394247570,103721292.46096202,0.01204968978747268090,0.00281566856968261985,0.00279984773948293908
646ad13fb9e22d3b802049d85e95dc04edb6471eaa9237a932d38d49,spend,590064,1585521.526024295670,455625916.06722830,0.01061793550879632033,0.01318187851403914249,0.01083775003567591588
fa6a58bbe2d0ff05534431c8e2f0ef2cbdc1602a8456e4b13c8f3077,spend,569129,55939.614839517930,20472949.888787954928,0.01024121962733829041,0.00044857620312841541,0.00046970234820671483
e6c90a5923713af5786963dee0fdffd830ca7e0c86a041d9e5833e91,spend,547177,2865977.207768235872,1060836948.83565099,0.00984620328963747012,0.02209564122082160310,0.02339958009272035771
